Buffer,_se_encrypt,encrypt
128,5.9384363019999995,6.032101355
256,3.0194272910000013,3.049130988
384,2.1381089200000005,2.161138109
512,1.9027850760000002,1.925053474
640,1.5451859480000003,1.567949325
768,1.4631948060000002,1.485686703
896,1.2784076619999998,1.298598766
1024,1.605113512,1.62526593
1152,1.181056204,1.200290871
1280,1.241383812,1.260989811
1408,1.138357649,1.157676019
1536,1.26897118,1.288878769
1664,1.1558319620000002,1.175997605
1792,1.1516758930000002,1.171797794
1920,1.047031242,1.06603495
2048,1.843591336,1.864657118
2176,1.0294295409999998,1.049788273
2304,1.18284697,1.203853028
2432,0.938642221,0.958822678
2560,1.471318333,1.494184022
2688,1.119960533,1.142774594
2816,1.3130615829999999,1.335789496
2944,0.878834757,0.899093471
3072,1.46092536,1.481166353
3200,1.023876321,1.045097155
3328,1.319562597,1.343770329
3456,1.2056110539999998,1.230422854
3584,1.802119077,1.82759426
3712,1.6100495559999999,1.638614838
3840,2.044418106,2.07142857
3968,2.062083217,2.090181764
4096,3.172161373,3.201223373
4224,1.213573761,1.237851548
4352,1.288453901,1.313198628
4480,1.340754719,1.367231893
4608,1.442910765,1.47039417
4736,1.437437504,1.465013056
4864,1.603928531,1.631798933
4992,1.45369748,1.482813093
5120,2.679777925,2.709654863
5248,1.448436292,1.47887128
5376,1.941617253,1.983855642
5504,1.472617471,1.566042323
5632,2.200076016,2.296754241
5760,1.573375352,1.701450777
5888,2.442096659,2.578963737
6016,1.873579186,2.013117856
6144,3.578966651,3.723342605
6272,2.056419811,2.206681976
6400,2.798415615,2.952863116
6528,2.281838755,2.440305507
6656,3.332852473,3.496946051
6784,2.654364816,2.81310475
6912,3.352286863,3.516618162
7040,3.175470438,3.362043001
7168,5.58138915,5.816867496
7296,3.689404179,3.932772395
7424,4.15204624,4.404113762
7552,4.102564039,4.363402758
7680,4.95147197,5.221752761
7808,4.66212768,4.862830448
7936,5.130888079,5.34057528
8064,5.200445952,5.410774071
8192,7.858901082,8.163912401
